gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error,ENTR_rel_error,maxL_rel_error,LAM_rel_error
37,1.48,0.07604006564130295,0.18984103247388617,2.465453711740322,0.5359166484496546,0.21222784799775646,40.0,0.33627517324339423
37,1.48,0.1303310198595753,0.678942150458063,4.225734077919526,1.9166372886996228,0.7042321019832926,60.0,0.28783510197462403
37,1.48,0.17809623047390932,0.641794913613225,5.774429687372056,1.8117715364982931,0.993109792164138,40.0,0.4772296495856177
37,1.48,0.1356728359861421,0.24769957207057303,4.398932250298863,0.6992499079709507,0.28280665213379974,50.0,0.10393658029799739
37,1.48,0.15564403583906028,0.6702387061635164,5.0464602132223995,1.8920676757159633,0.96608493422641,10.0,0.7578780555435924
37,1.48,0.04023535104409337,0.3241349917048524,1.3045543127589425,0.9150252510537514,1.5074006864764071,10.0,1.4760516070329284
50,2.0,0.25650011036184006,0.6444542388121164,8.316525555573742,1.8192787472901626,0.965738350108321,130.0,0.7582068077460188
50,2.0,0.11803918577711148,0.38277797746221864,3.827194864320455,1.0805729831358115,0.0881065086719863,80.0,0.20373015649339898
50,2.0,0.24183840097057807,0.8249198281604251,7.841147667163422,2.3287287462904627,0.8573623898701874,140.0,0.8526552592627952
50,2.0,0.25536467138183605,0.6602707069078377,8.279711118025638,1.863928254626443,1.0537821688916518,70.0,0.8824340677038591
50,2.0,0.2579406228044432,0.3980488105229796,8.363231416733532,1.1236821759499778,0.19777528584482099,70.0,0.23225512662531927
50,2.0,0.2765824296878905,0.6330812183456089,8.967656354912135,1.7871729852653042,1.0431826579383296,50.0,0.8392839727797224
50,2.0,0.19849170467878618,0.5023855476659804,6.435713934788653,1.418222264313336,0.2824304800307266,90.0,0.2104100935539763
50,2.0,0.20787422891924656,0.5728546653729509,6.739924340435276,1.6171548811906633,0.3282200436225742,190.0,0.5127005134750787
50,2.0,0.29916190662832687,0.5582035298734596,9.699752714409701,1.5757950796211622,0.7013380700180574,50.0,0.7959768256536123
50,2.0,0.20501138722055323,0.3046517737128198,6.647102173165412,0.860024597342387,0.7499018324365505,80.0,0.04606776536057507
50,2.0,0.2424647107282314,0.5394542578244952,7.861454563319844,1.522866337576241,0.6537251967854859,80.0,1.1533344830668428
50,2.0,0.2059064040677807,0.6828070380684466,6.6761213828341175,1.9275477730548753,0.6177510184879206,40.0,0.5922452482551466
50,2.0,0.13171900309669748,0.4251615856855935,4.270736780046831,1.2002208852372642,0.15503088187907024,160.0,0.3510679154775502
50,2.0,0.26751912138842737,0.7942319013359196,8.673795915693617,2.2420974702310073,0.788194469643305,50.0,1.1613170982833225
50,2.0,0.1511002595649873,0.3147871009114809,4.899136956913346,0.8886363811725988,0.3240348574861029,40.0,0.23259364373959035
50,2.0,0.239036169893593,0.3014290729652913,7.750290683392562,0.8509269909868734,0.08543103261577811,110.00000000000001,0.09910814807073472
50,2.0,0.15943017934177872,0.3731890330334551,5.169218675793852,1.053503624665377,0.32401483417745364,60.0,0.09830117175425213
50,2.0,0.19187706549634287,0.35418251537030443,6.22124690893012,0.9998486844662082,0.3566551765502841,70.0,0.23750879345956463
50,2.0,0.09000879359103253,0.06042906453885166,2.918363002145315,0.17058978933368374,1.2065153170566456,210.0,1.1973886814369605
50,2.0,0.22319861444118771,0.7294516627926413,7.236788235101452,2.059224421799508,0.8907370737892973,70.0,0.5572982215066886
50,2.0,0.19354991865549476,0.1702000671530115,6.275485973502776,0.4804706778398658,0.6789900567694457,110.00000000000001,0.1071645878051045
50,2.0,0.2646724425221896,0.5407822735902883,8.581497797356821,1.526615294000559,0.47315913137374693,450.0,0.8203511176586143
50,2.0,0.28672662740781973,0.7130409675925975,9.296562566529639,2.012897425703203,0.7974371192360632,90.0,1.1223709816812388
50,2.0,0.16487099281713613,0.23180838970689166,5.345626647888244,0.6543894840611836,0.5162175565977989,30.0,0.40387608445292433
50,2.0,0.1881192069504216,0.15894143711835795,6.099405531991537,0.4486878372406601,0.6838038219579078,240.0,0.01116247826640616
50,2.0,0.23548034675336638,0.4932808548805383,7.634999918117341,1.3925199365333336,0.19286364121906624,90.0,0.515876688194851
50,2.0,0.27448732253083685,0.7508464670512893,8.899726511963053,2.1196214373609794,0.8551170552412776,120.0,0.9531830038731746
50,2.0,0.21775780096582986,0.4292890407086887,7.060380263007046,1.2118725910554367,0.004340870393236066,30.0,0.46124425331654295
50,2.0,0.22256826397542007,0.6459481185733651,7.216350326711747,1.8234959337666705,0.7060008740821754,140.0,0.8089179500235358
50,2.0,0.2264170384539037,0.758601184918021,7.341139478898838,2.141512818558472,0.9572058979186695,110.00000000000001,0.8751240645394207
75,3.0,0.2867751159051868,0.25390593843171416,9.298134713328857,0.7167703302735998,0.9645925042133383,730.0,0.4870863211404898
75,3.0,0.2963839198000251,0.33415436618488314,9.609681804038445,0.9433097031604828,0.7081193254765786,270.0,0.18526746642254177
75,3.0,0.22818888896184575,0.04259942217433377,7.398588343186534,0.12025713967132592,1.799308171280084,500.0,0.5504954045231444
75,3.0,0.24706909762401308,0.6684921310955261,8.010743003127917,1.8871371364931961,4.250688413589054,320.0,1.597033476536084
75,3.0,0.30265509879278785,0.07355124919752853,9.81301279006927,0.2076333996163181,1.2382180138448298,280.0,0.6374944222923552
75,3.0,0.2796412457301076,0.04830336193678875,9.06683261549546,0.1363592238236236,1.6507357572800259,330.0,0.557413622932535
75,3.0,0.329113655522562,0.42358234725985966,10.67088089350343,1.1957627333130294,0.1846891927941243,340.0,0.6532557865611672
75,3.0,0.2780168810683228,0.2324228322013795,9.014165697722024,0.6561240403792771,0.46690869712747624,840.0,0.21329778032038998
75,3.0,0.23881191059327156,0.8440789588122897,7.743019504446217,2.382814509269911,6.214120361621521,330.0,1.835033277867167
75,3.0,0.3468503437884971,0.39423306276823666,11.245959091430159,1.1129104122200664,0.30298967564758467,330.0,0.34223804410045494
