gap_length,gap_in_tau,RR_error,DET_error,RR_rel_error,DET_rel_error
50,2.0,0.2424647107282314,0.5394542578244952,7.861454563319844,1.522866337576241
50,2.0,0.2059064040677807,0.6828070380684466,6.6761213828341175,1.9275477730548753
50,2.0,0.13171900309669748,0.4251615856855935,4.270736780046831,1.2002208852372642
50,2.0,0.26751912138842737,0.7942319013359196,8.673795915693617,2.2420974702310073
50,2.0,0.1511002595649873,0.3147871009114809,4.899136956913346,0.8886363811725988
50,2.0,0.239036169893593,0.3014290729652913,7.750290683392562,0.8509269909868734
50,2.0,0.15943017934177872,0.3731890330334551,5.169218675793852,1.053503624665377
50,2.0,0.19187706549634287,0.35418251537030443,6.22124690893012,0.9998486844662082
50,2.0,0.09000879359103253,0.06042906453885166,2.918363002145315,0.17058978933368374
50,2.0,0.22319861444118771,0.7294516627926413,7.236788235101452,2.059224421799508
50,2.0,0.19354991865549476,0.1702000671530115,6.275485973502776,0.4804706778398658
50,2.0,0.2646724425221896,0.5407822735902883,8.581497797356821,1.526615294000559
50,2.0,0.28672662740781973,0.7130409675925975,9.296562566529639,2.012897425703203
50,2.0,0.16487099281713613,0.23180838970689166,5.345626647888244,0.6543894840611836
50,2.0,0.1881192069504216,0.15894143711835795,6.099405531991537,0.4486878372406601
50,2.0,0.23548034675336638,0.4932808548805383,7.634999918117341,1.3925199365333336
50,2.0,0.27448732253083685,0.7508464670512893,8.899726511963053,2.1196214373609794
50,2.0,0.21775780096582986,0.4292890407086887,7.060380263007046,1.2118725910554367
50,2.0,0.22256826397542007,0.6459481185733651,7.216350326711747,1.8234959337666705
50,2.0,0.2264170384539037,0.758601184918021,7.341139478898838,2.141512818558472
