filename,eDim,tLag,rescale,radius,perc_recur,perc_determ,maxl_found,mean_line,std_line,count_line,entropy,laminarity,trapping_time,vmax,divergence,trend_lower_diag,trend_upper_diag
P003_T7_PC10, 4, 10, 1, 20.0, 0.371, 85.119, 28.00, 2.95, 1.98, 1103, 1.863, 0.923, 3.445, 12.00, 0.036, -0.298, 0.437
P003_T7_PC11, 4, 10, 1, 20.0, 0.296, 83.492, 23.00, 3.00, 1.80, 848, 1.947, 0.920, 3.395, 11.00, 0.043, -0.074, -0.119
P003_T7_PC12, 4, 10, 1, 20.0, 0.440, 87.787, 19.00, 3.21, 1.84, 1242, 2.155, 0.936, 3.878, 14.00, 0.053, -0.462, 1.190
P003_T7_PC13, 4, 10, 1, 20.0, 0.334, 82.772, 12.00, 2.91, 1.38, 979, 1.894, 0.899, 3.290, 18.00, 0.083, -0.005, 0.227
P003_T7_PC14, 4, 10, 1, 20.0, 0.622, 91.313, 27.00, 3.65, 2.64, 1605, 2.476, 0.977, 5.641, 46.00, 0.037, -0.516, -0.333
P003_T8_PC1, 4, 10, 1, 20.0, 1.219, 94.686, 91.00, 6.78, 11.01, 1815, 3.321, 0.972, 8.136, 98.00, 0.011, -3.611, -1.175
P003_T8_PC2, 4, 10, 1, 20.0, 0.586, 91.994, 42.00, 5.08, 5.82, 1133, 3.016, 0.974, 6.612, 39.00, 0.024, -0.685, -0.773
P003_T8_PC3, 4, 10, 1, 20.0, 0.739, 84.437, 23.00, 3.35, 2.30, 1988, 2.245, 0.958, 4.905, 29.00, 0.043, -0.274, 1.075
P003_T8_PC4, 4, 10, 1, 20.0, 0.759, 89.406, 33.00, 4.08, 3.63, 1773, 2.698, 0.927, 4.267, 18.00, 0.030, -1.660, -0.437
P003_T8_PC5, 4, 10, 1, 20.0, 1.478, 96.494, 65.00, 7.12, 8.29, 2138, 3.699, 0.974, 7.631, 36.00, 0.015, -4.802, -2.138
P003_T8_PC6, 4, 10, 1, 20.0, 0.716, 86.604, 68.00, 4.04, 4.73, 1639, 2.548, 0.942, 5.036, 38.00, 0.015, -0.426, -1.082
P003_T8_PC7, 4, 10, 1, 20.0, 0.579, 86.900, 19.00, 3.65, 2.45, 1472, 2.486, 0.920, 4.079, 30.00, 0.053, -0.609, -0.560
P003_T8_PC8, 4, 10, 1, 20.0, 0.458, 84.251, 19.00, 3.15, 1.91, 1305, 2.104, 0.891, 3.425, 21.00, 0.053, -0.705, -0.181
P003_T8_PC9, 4, 10, 1, 20.0, 0.440, 82.176, 27.00, 3.10, 2.00, 1246, 2.046, 0.901, 3.388, 13.00, 0.037, -0.391, 0.479
P003_T8_PC10, 4, 10, 1, 20.0, 0.361, 85.061, 24.00, 3.34, 2.54, 979, 2.212, 0.924, 3.695, 18.00, 0.042, -0.372, -0.105
